,latitude,longitude,count,avg_score
0,37.70802018416812,-122.41249676853344,8,0.013077445652173864
1,37.70805761187209,-122.44198634816917,2,0.0095108695652173
2,37.70821480335819,-122.45234680782866,1,0.0
3,37.70825595933486,-122.45428112693692,4,0.0084918478260869
4,37.70831126504184,-122.42008306742426,9,0.014643719806763255
5,37.70832812004224,-122.44984660557805,2,0.0054347826086956
6,37.70835433601625,-122.45592824529076,4,0.004415760869565201
7,37.70844468250019,-122.45882473616426,3,0.005887681159420233
8,37.70848387802039,-122.4141454097024,2,0.00339673913043475
9,37.70853811426191,-122.46172521402256,6,0.00566123188405795
10,37.70854867224069,-122.4209265086304,2,0.0101902173913043
11,37.708583767793925,-122.44483941360352,6,0.004302536231884017
12,37.70866203203559,-122.46927073577235,4,0.011209239130434725
13,37.70867486585139,-122.4704011412784,2,0.0095108695652173
14,37.70873803195372,-122.41504908684422,4,0.002377717391304325
15,37.708743053503085,-122.42161733099788,2,0.00475543478260865
16,37.70880633652071,-122.45266472219632,11,0.009510869565217345
17,37.7088710099171,-122.43439530880578,3,0.009057971014492667
18,37.70888047149938,-122.42601572594602,3,0.0054347826086956
19,37.708903824877794,-122.39440306701336,3,0.015851449275362233
20,37.70892735637913,-122.42226516300823,6,0.011775362318840516
21,37.70896857990599,-122.4400245681816,1,0.0203804347826086
22,37.70899533715967,-122.41596400031476,2,0.0081521739130434
23,37.70899930078984,-122.45824119611856,2,0.0129076086956521
24,37.70902273446436,-122.42820983526342,1,0.0081521739130434
25,37.70907111391809,-122.44767389527016,4,0.012228260869565175
26,37.70908524861477,-122.46113996784852,1,0.0108695652173913
27,37.70909807296136,-122.4059805520096,8,0.04093070652173908
28,37.70916184592892,-122.46433856617756,2,0.0176630434782608
29,37.7091622050236,-122.42289332760808,9,0.014039855072463723
30,37.70916687132343,-122.45324912493815,2,0.01222826086956515
31,37.709167531705646,-122.40622805369944,3,0.003170289855072433
32,37.70920960643714,-122.43192520769996,2,0.00951086956521735
33,37.70921035143351,-122.41196819816332,4,0.00747282608695645
34,37.70921368697432,-122.45580719694898,3,0.0027173913043478
35,37.70923281778352,-122.41680844577871,5,0.00217391304347824
36,37.709238073866935,-122.48513637869328,2,0.00951086956521735
37,37.70925775658564,-122.41451319098772,3,0.008605072463768034
38,37.70926005390525,-122.44520459269154,1,0.0081521739130434
39,37.70929859465119,-122.43596796504664,2,0.0040760869565217
40,37.70932060995141,-122.44266868816416,4,0.0129076086956521
41,37.7093465928992,-122.4068661143003,6,0.0090579710144927
42,37.70934710789241,-122.42607352828963,5,0.01956521739130428
43,37.70940240014413,-122.44670507471142,2,0.00067934782608695
44,37.70941274065172,-122.45088366843996,3,0.009057971014492667
45,37.709445736234784,-122.46547874490786,3,0.020380434782608637
46,37.70946589601698,-122.41525752420664,1,0.0054347826086956
47,37.709471428684765,-122.41765694410064,5,0.00788043478260866
48,37.709507079662586,-122.43023803723574,3,0.007246376811594134
49,37.709539891678034,-122.45767030673144,8,0.013077445652173864
50,37.70954046240261,-122.43963075817982,1,0.0081521739130434
51,37.70954336757749,-122.45049893106346,1,0.0081521739130434
52,37.70959004083106,-122.40773363150838,5,0.010054347826086921
53,37.70959990171718,-122.46789985759266,2,0.0129076086956521
54,37.709614778424935,-122.42926866826564,1,0.0013586956521739
55,37.70963986674129,-122.46460805049662,3,0.008605072463768034
56,37.709641387437976,-122.43128258224374,2,0.0067934782608695
57,37.709642326727646,-122.41351429985102,1,0.0095108695652173
58,37.709657162041786,-122.46255520841372,1,0.0095108695652173
59,37.709660645032095,-122.44162793645022,1,0.0081521739130434
60,37.70966296783695,-122.46186515741378,5,0.00190217391304346
61,37.7096659407093,-122.45912595939852,3,0.009510869565217333
62,37.709673492716725,-122.46061290111784,3,0.017210144927536166
63,37.70967876916293,-122.453887581883,4,0.0081521739130434
64,37.709679912293545,-122.45009548714104,4,0.005095108695652125
65,37.7096948673027,-122.4159559169302,3,0.010869565217391233
66,37.70970883751673,-122.4185011923775,2,0.00747282608695645
67,37.70971617680922,-122.44802232930522,1,0.0095108695652173
68,37.70972316975024,-122.4324622998752,2,0.00203804347826085
69,37.7098133139425,-122.44550334534108,2,0.0040760869565217
